case,method,mse,nmse,cvar,activation_mse,a16_mse,weighted_loss,scale_mean,scale_p99,pollution_mean,pollution_p99,loss_fw,loss_cross,loss_fa,cross_over_total,identity_error,route_gain,route_scale
sensitivity_mismatch,v3_cost,0.08594705909490585,0.001027523772791028,0.8270230293273926,0.05066218972206116,0.03585592657327652,0.08594705909490585,0.1962638795375824,1.3288824558258057,2.3519039154052734,3.96966290473938,1762.390625,-28.069202423095703,2490.147705078125,-0.006644432139400355,1.15584036564087e-07,0.29752328991889954,1.0
sensitivity_mismatch,v3_full,0.08893465250730515,0.0010632413905113935,0.6677112579345703,0.05106471851468086,0.038106534630060196,0.08893465250730515,0.17779332399368286,1.0513778924942017,2.337562322616577,3.9465951919555664,1873.0118408203125,-11.630127906799316,2509.933349609375,-0.0026605556368259472,1.1170121894110707e-07,0.22349943220615387,1.0
sensitivity_mismatch,v3_block_hadamard,0.043472301214933395,0.0005197248538024724,0.35840892791748047,0.023882294073700905,0.0190986767411232,0.043472301214933395,0.12625360488891602,0.5040518641471863,2.032768964767456,2.908372640609741,938.7384643554688,24.150135040283203,1173.8624267578125,0.011302269335631592,0.0,0.2535582184791565,1.0
sensitivity_mismatch,g_half_reference,0.058653492480516434,0.0007012207061052322,0.4779539108276367,0.03459613770246506,0.024932319298386574,0.058653492480516434,0.14362584054470062,1.2462488412857056,1.9433729648590088,2.8181567192077637,1225.4735107421875,-43.006141662597656,1700.4693603515625,-0.014917477826157209,8.468470014122431e-08,0.0954386368393898,1.0
unstable_tail_location,v2,0.0907069519162178,0.0012912384700030088,0.5866602063179016,0.043907761573791504,0.04843651130795479,0.0907069519162178,0.17013925313949585,1.882717251777649,2.2708611488342285,3.981571912765503,2380.751220703125,-80.4775390625,2158.154296875,-0.018050650639556267,2.1903737490447384e-07,0.0,0.0
unstable_tail_location,v2_plus,0.07492563873529434,0.0010665871668606997,0.455507755279541,0.04337083175778389,0.03280589357018471,0.07492563873529434,0.17013925313949585,1.882717251777649,2.2708611488342285,3.981571912765503,1612.4757080078125,-61.49342727661133,2131.76318359375,-0.016697712485297847,0.0,0.17607682943344116,1.0
unstable_tail_location,v3_sort,0.1324264258146286,0.0018851266941055655,0.8675599098205566,0.04668927192687988,0.08601081371307373,0.1324264258146286,0.1616509109735489,1.8718628883361816,2.237137794494629,3.990752696990967,4227.6025390625,-13.450437545776367,2294.870849609375,-0.002066429112897043,1.500320792047205e-07,0.0697772279381752,1.0
unstable_tail_location,v3_cost,0.09354434162378311,0.0013316296972334385,0.5887137651443481,0.04616772010922432,0.0492904894053936,0.09354434162378311,0.16657450795173645,1.8733526468276978,2.280412197113037,3.9845104217529297,2422.7255859375,-94.07022094726562,2269.2353515625,-0.020459425558292364,2.1239354452973203e-07,0.0661744549870491,1.0
unstable_tail_location,v3_full,0.07492563873529434,0.0010665871668606997,0.455507755279541,0.04337083175778389,0.03280589357018471,0.07492563873529434,0.17013925313949585,1.882717251777649,2.2708611488342285,3.981571912765503,1612.4757080078125,-61.49342727661133,2131.76318359375,-0.016697712485297847,0.0,0.17607682943344116,1.0
unstable_tail_location,v3_block_hadamard,0.047032248228788376,0.0006695170304737985,0.27453669905662537,0.019974464550614357,0.02707626484334469,0.047032248228788376,0.11734738200902939,0.5655393600463867,2.0614147186279297,2.938169240951538,1330.8526611328125,-0.9085121154785156,981.7849731445312,-0.000393001132028605,0.0,0.2059413641691208,1.0
unstable_tail_location,g_half_reference,0.05309179052710533,0.0007557763019576669,0.2869492471218109,0.024081379175186157,0.03032395802438259,0.05309179052710533,0.12183643877506256,1.6712015867233276,1.9089555740356445,2.8194222450256348,1490.4835205078125,-64.56324005126953,1183.6478271484375,-0.024740965232553876,9.355593988402688e-08,0.13544334471225739,1.0
